grouping_variable,value_variable,n_total,n_groups,h_stat,p_value,epsilon_squared,group_sizes,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group__bp_cat,t2m_pre_rmssd,509,11,9.356818265468343,0.49860785181776146,-0.001291529587412966,"{'1 | 70-79 | normal': 117, '1 | 60-69 | normal': 114, '2 | 70-79 | normal': 58, '1 | 60-69 | high': 47, '1 | 70-79 | high': 47, '2 | 70-79 | high': 33, '2 | 60-69 | normal': 37, '1 | 80+ | normal': 19, '1 | <60 | normal': 8, '1 | 80+ | high': 10, '2 | 60-69 | high': 19}",0.49860785181776146,False,sex__age_group__bp_cat
sex__age_group__bp_cat,t2m_pre_hf,517,11,12.283461395429047,0.26653336069972805,0.004512769556183887,"{'1 | 70-79 | normal': 119, '1 | 60-69 | normal': 115, '2 | 70-79 | normal': 61, '1 | 60-69 | high': 47, '1 | 70-79 | high': 48, '2 | 70-79 | high': 33, '2 | 60-69 | normal': 38, '1 | 80+ | normal': 19, '1 | <60 | normal': 8, '1 | 80+ | high': 10, '2 | 60-69 | high': 19}",0.31095558748301605,False,sex__age_group__bp_cat
sex__age_group__bp_cat,t2m_pre_lf,517,11,21.715357745560727,0.016622191476690383,0.023152880920080488,"{'1 | 70-79 | normal': 119, '1 | 60-69 | normal': 115, '2 | 70-79 | normal': 61, '1 | 60-69 | high': 47, '1 | 70-79 | high': 48, '2 | 70-79 | high': 33, '2 | 60-69 | normal': 38, '1 | 80+ | normal': 19, '1 | <60 | normal': 8, '1 | 80+ | high': 10, '2 | 60-69 | high': 19}",0.0387851134456109,True,sex__age_group__bp_cat
sex__age_group__bp_cat,t2m_pre_vlf,517,11,26.84130942190798,0.00275916498954891,0.03328322020139917,"{'1 | 70-79 | normal': 119, '1 | 60-69 | normal': 115, '2 | 70-79 | normal': 61, '1 | 60-69 | high': 47, '1 | 70-79 | high': 48, '2 | 70-79 | high': 33, '2 | 60-69 | normal': 38, '1 | 80+ | normal': 19, '1 | <60 | normal': 8, '1 | 80+ | high': 10, '2 | 60-69 | high': 19}",0.009657077463421185,True,sex__age_group__bp_cat
sex__bmi_cat__bp_cat,t2m_pre_mean_rr,520,13,12.348819649621873,0.41808764791193204,0.0006880071984652335,"{'1 | normal | normal': 85, '2 | overweight | normal': 43, '1 | obesity | normal': 90, '1 | overweight | normal': 73, '1 | overweight | high': 32, '1 | obesity | high': 40, '2 | overweight | high': 14, '1 | normal | high': 29, '1 | low | normal': 13, '2 | normal | normal': 36, '2 | obesity | high': 29, '2 | obesity | normal': 25, '2 | normal | high': 11}",0.5853227070767049,False,sex__bmi_cat__bp_cat
sex__bmi_cat__bp_cat,t2m_pre_mean_hr,519,13,8.833550987704013,0.7170778236636495,-0.006257804372126455,"{'1 | normal | normal': 85, '2 | overweight | normal': 43, '1 | obesity | normal': 90, '1 | overweight | normal': 73, '1 | overweight | high': 32, '1 | obesity | high': 40, '2 | overweight | high': 14, '1 | normal | high': 29, '1 | low | normal': 13, '2 | normal | normal': 35, '2 | obesity | high': 29, '2 | obesity | normal': 25, '2 | normal | high': 11}",0.7170778236636495,False,sex__bmi_cat__bp_cat
sex__bmi_cat__bp_cat,t2m_pre_sdnn,509,13,55.605748442975134,1.4091418043868679e-07,0.08791481540922406,"{'1 | normal | normal': 82, '2 | overweight | normal': 43, '1 | obesity | normal': 89, '1 | overweight | normal': 73, '1 | overweight | high': 30, '1 | obesity | high': 40, '2 | overweight | high': 14, '1 | normal | high': 29, '1 | low | normal': 13, '2 | normal | normal': 32, '2 | obesity | high': 29, '2 | obesity | normal': 25, '2 | normal | high': 10}",9.863992630708075e-07,True,sex__bmi_cat__bp_cat
sex__bmi_cat__bp_cat,t2m_pre_rmssd,512,13,17.290088993461936,0.13900710879988598,0.010601380748420713,"{'1 | normal | normal': 83, '2 | overweight | normal': 41, '1 | obesity | normal': 90, '1 | overweight | normal': 72, '1 | overweight | high': 31, '1 | obesity | high': 40, '2 | overweight | high': 14, '1 | normal | high': 29, '1 | low | normal': 13, '2 | normal | normal': 34, '2 | obesity | high': 29, '2 | obesity | normal': 25, '2 | normal | high': 11}",0.24326244039980047,False,sex__bmi_cat__bp_cat
sex__bmi_cat__bp_cat,t2m_pre_hf,520,13,10.000032480347539,0.6159578052124874,-0.0039447091117405545,"{'1 | normal | normal': 85, '2 | overweight | normal': 43, '1 | obesity | normal': 90, '1 | overweight | normal': 73, '1 | overweight | high': 32, '1 | obesity | high': 40, '2 | overweight | high': 14, '1 | normal | high': 29, '1 | low | normal': 13, '2 | normal | normal': 36, '2 | obesity | high': 29, '2 | obesity | normal': 25, '2 | normal | high': 11}",0.7170778236636495,False,sex__bmi_cat__bp_cat
sex__bmi_cat__bp_cat,t2m_pre_lf,520,13,20.730860033831338,0.054463239853792804,0.017220631230436562,"{'1 | normal | normal': 85, '2 | overweight | normal': 43, '1 | obesity | normal': 90, '1 | overweight | normal': 73, '1 | overweight | high': 32, '1 | obesity | high': 40, '2 | overweight | high': 14, '1 | normal | high': 29, '1 | low | normal': 13, '2 | normal | normal': 36, '2 | obesity | high': 29, '2 | obesity | normal': 25, '2 | normal | high': 11}",0.12708089299218323,False,sex__bmi_cat__bp_cat
sex__bmi_cat__bp_cat,t2m_pre_vlf,520,13,28.61746252441959,0.004488852000437053,0.0327760602059558,"{'1 | normal | normal': 85, '2 | overweight | normal': 43, '1 | obesity | normal': 90, '1 | overweight | normal': 73, '1 | overweight | high': 32, '1 | obesity | high': 40, '2 | overweight | high': 14, '1 | normal | high': 29, '1 | low | normal': 13, '2 | normal | normal': 36, '2 | obesity | high': 29, '2 | obesity | normal': 25, '2 | normal | high': 11}",0.015710982001529688,True,sex__bmi_cat__bp_cat
age_group__bmi_cat__bp_cat,t2m_pre_mean_rr,492,15,25.401401525333366,0.03080536541493799,0.02390230927742844,"{'70-79 | normal | normal': 57, '60-69 | normal | normal': 46, '70-79 | overweight | normal': 63, '70-79 | obesity | normal': 50, '60-69 | overweight | high': 20, '70-79 | obesity | high': 34, '70-79 | overweight | high': 23, '60-69 | normal | high': 16, '60-69 | overweight | normal': 39, '70-79 | low | normal': 10, '60-69 | obesity | high': 29, '60-69 | obesity | normal': 62, '80+ | overweight | normal': 12, '80+ | normal | normal': 12, '70-79 | normal | high': 19}",0.08163505190748285,False,age_group__bmi_cat__bp_cat
age_group__bmi_cat__bp_cat,t2m_pre_mean_hr,491,15,24.95778445194094,0.03498645081749265,0.0230205555713045,"{'70-79 | normal | normal': 57, '60-69 | normal | normal': 45, '70-79 | overweight | normal': 63, '70-79 | obesity | normal': 50, '60-69 | overweight | high': 20, '70-79 | obesity | high': 34, '70-79 | overweight | high': 23, '60-69 | normal | high': 16, '60-69 | overweight | normal': 39, '70-79 | low | normal': 10, '60-69 | obesity | high': 29, '60-69 | obesity | normal': 62, '80+ | overweight | normal': 12, '80+ | normal | normal': 12, '70-79 | normal | high': 19}",0.08163505190748285,False,age_group__bmi_cat__bp_cat
age_group__bmi_cat__bp_cat,t2m_pre_sdnn,481,15,20.534555716358515,0.11416869392167459,0.014022651751842306,"{'70-79 | normal | normal': 53, '60-69 | normal | normal': 44, '70-79 | overweight | normal': 63, '70-79 | obesity | normal': 50, '60-69 | overweight | high': 19, '70-79 | obesity | high': 34, '70-79 | overweight | high': 22, '60-69 | normal | high': 15, '60-69 | overweight | normal': 39, '70-79 | low | normal': 10, '60-69 | obesity | high': 29, '60-69 | obesity | normal': 61, '80+ | overweight | normal': 12, '80+ | normal | normal': 11, '70-79 | normal | high': 19}",0.1598361714903444,False,age_group__bmi_cat__bp_cat
age_group__bmi_cat__bp_cat,t2m_pre_rmssd,484,15,15.036752750285697,0.3756469348209893,0.002210560235150739,"{'70-79 | normal | normal': 53, '60-69 | normal | normal': 46, '70-79 | overweight | normal': 62, '70-79 | obesity | normal': 50, '60-69 | overweight | high': 20, '70-79 | obesity | high': 34, '70-79 | overweight | high': 22, '60-69 | normal | high': 16, '60-69 | overweight | normal': 37, '70-79 | low | normal': 10, '60-69 | obesity | high': 29, '60-69 | obesity | normal': 62, '80+ | overweight | normal': 12, '80+ | normal | normal': 12, '70-79 | normal | high': 19}",0.3756469348209893,False,age_group__bmi_cat__bp_cat
age_group__bmi_cat__bp_cat,t2m_pre_hf,492,15,22.542274643558827,0.0681374510320704,0.017908332586077203,"{'70-79 | normal | normal': 57, '60-69 | normal | normal': 46, '70-79 | overweight | normal': 63, '70-79 | obesity | normal': 50, '60-69 | overweight | high': 20, '70-79 | obesity | high': 34, '70-79 | overweight | high': 23, '60-69 | normal | high': 16, '60-69 | overweight | normal': 39, '70-79 | low | normal': 10, '60-69 | obesity | high': 29, '60-69 | obesity | normal': 62, '80+ | overweight | normal': 12, '80+ | normal | normal': 12, '70-79 | normal | high': 19}",0.11924053930612322,False,age_group__bmi_cat__bp_cat
age_group__bmi_cat__bp_cat,t2m_pre_lf,492,15,30.859388077493012,0.0058002336634259246,0.03534462909327676,"{'70-79 | normal | normal': 57, '60-69 | normal | normal': 46, '70-79 | overweight | normal': 63, '70-79 | obesity | normal': 50, '60-69 | overweight | high': 20, '70-79 | obesity | high': 34, '70-79 | overweight | high': 23, '60-69 | normal | high': 16, '60-69 | overweight | normal': 39, '70-79 | low | normal': 10, '60-69 | obesity | high': 29, '60-69 | obesity | normal': 62, '80+ | overweight | normal': 12, '80+ | normal | normal': 12, '70-79 | normal | high': 19}",0.040601635643981476,True,age_group__bmi_cat__bp_cat
age_group__bmi_cat__bp_cat,t2m_pre_vlf,492,15,17.561204765393864,0.22750206467061865,0.007465838082586717,"{'70-79 | normal | normal': 57, '60-69 | normal | normal': 46, '70-79 | overweight | normal': 63, '70-79 | obesity | normal': 50, '60-69 | overweight | high': 20, '70-79 | obesity | high': 34, '70-79 | overweight | high': 23, '60-69 | normal | high': 16, '60-69 | overweight | normal': 39, '70-79 | low | normal': 10, '60-69 | obesity | high': 29, '60-69 | obesity | normal': 62, '80+ | overweight | normal': 12, '80+ | normal | normal': 12, '70-79 | normal | high': 19}",0.26541907544905513,False,age_group__bmi_cat__bp_cat
