grouping_variable,value_variable,n_total,n_groups,h_stat,p_value,epsilon_squared,group_sizes,p_adj_fdr,significant_fdr,combined_grouping
sex__bmi_cat,t2m_pre_hf,530,8,7.607095474607168,0.36851028514692985,0.0011630181505884443,"{'1 | normal': 114, '2 | overweight': 57, '1 | obesity': 130, '1 | overweight': 105, '1 | low': 17, '2 | normal': 47, '2 | obesity': 54, '2 | low': 6}",0.5159143992057018,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,530,8,18.457262261187314,0.010068740701733147,0.021948778278136617,"{'1 | normal': 114, '2 | overweight': 57, '1 | obesity': 130, '1 | overweight': 105, '1 | low': 17, '2 | normal': 47, '2 | obesity': 54, '2 | low': 6}",0.02349372830404401,True,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,530,8,22.617239564658664,0.0019868071986263148,0.029918083457200505,"{'1 | normal': 114, '2 | overweight': 57, '1 | obesity': 130, '1 | overweight': 105, '1 | low': 17, '2 | normal': 47, '2 | obesity': 54, '2 | low': 6}",0.006953825195192102,True,sex__bmi_cat
sex__bp_cat,t2m_pre_mean_rr,530,4,4.903669622004513,0.17898836221146674,0.003619143768069416,"{'1 | normal': 261, '2 | normal': 108, '1 | high': 105, '2 | high': 56}",0.25058370709605343,False,sex__bp_cat
sex__bp_cat,t2m_pre_mean_hr,529,4,3.9978388756449186,0.2616975869153138,0.0019006454774188925,"{'1 | normal': 261, '2 | normal': 107, '1 | high': 105, '2 | high': 56}",0.30531385140119943,False,sex__bp_cat
sex__bp_cat,t2m_pre_sdnn,519,4,52.71184886186911,2.1119229601959428e-11,0.09652786186770701,"{'1 | normal': 257, '2 | normal': 104, '1 | high': 103, '2 | high': 55}",1.47834607213716e-10,True,sex__bp_cat
sex__bp_cat,t2m_pre_rmssd,522,4,7.390647715237953,0.060435762788084345,0.008476153890420758,"{'1 | normal': 258, '2 | normal': 104, '1 | high': 104, '2 | high': 56}",0.1410167798388635,False,sex__bp_cat
sex__bp_cat,t2m_pre_hf,530,4,3.378064062421968,0.3369245276781801,0.00071875297038397,"{'1 | normal': 261, '2 | normal': 108, '1 | high': 105, '2 | high': 56}",0.3369245276781801,False,sex__bp_cat
sex__bp_cat,t2m_pre_lf,530,4,6.713447623393359,0.08161425146049685,0.007059786356261138,"{'1 | normal': 261, '2 | normal': 108, '1 | high': 105, '2 | high': 56}",0.1428249400558695,False,sex__bp_cat
sex__bp_cat,t2m_pre_vlf,530,4,16.22794454165946,0.0010182556348685534,0.02514818353927654,"{'1 | normal': 261, '2 | normal': 108, '1 | high': 105, '2 | high': 56}",0.003563894722039937,True,sex__bp_cat
age_group__bmi_cat,t2m_pre_mean_rr,525,12,16.01292232058823,0.14065182133171747,0.009771778402706103,"{'70-79 | normal': 76, '60-69 | normal': 62, '70-79 | overweight': 86, '70-79 | obesity': 84, '60-69 | overweight': 59, '70-79 | low': 15, '60-69 | obesity': 91, '80+ | overweight': 15, '<60 | normal': 6, '80+ | normal': 17, '60-69 | low': 7, '80+ | obesity': 7}",0.19691254986440446,False,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,524,12,13.960686727553103,0.2351764837051422,0.005782591264752154,"{'70-79 | normal': 76, '60-69 | normal': 61, '70-79 | overweight': 86, '70-79 | obesity': 84, '60-69 | overweight': 59, '70-79 | low': 15, '60-69 | obesity': 91, '80+ | overweight': 15, '<60 | normal': 6, '80+ | normal': 17, '60-69 | low': 7, '80+ | obesity': 7}",0.2351764837051422,False,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_sdnn,514,12,25.1171594329874,0.008763350056865286,0.028121831539815536,"{'70-79 | normal': 72, '60-69 | normal': 59, '70-79 | overweight': 85, '70-79 | obesity': 84, '60-69 | overweight': 58, '70-79 | low': 15, '60-69 | obesity': 90, '80+ | overweight': 15, '<60 | normal': 6, '80+ | normal': 16, '60-69 | low': 7, '80+ | obesity': 7}",0.020447816799352335,True,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_rmssd,517,12,18.004977508554425,0.0814651897254108,0.013871242591196882,"{'70-79 | normal': 72, '60-69 | normal': 62, '70-79 | overweight': 84, '70-79 | obesity': 84, '60-69 | overweight': 57, '70-79 | low': 15, '60-69 | obesity': 91, '80+ | overweight': 15, '<60 | normal': 6, '80+ | normal': 17, '60-69 | low': 7, '80+ | obesity': 7}",0.1425640820194689,False,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_hf,525,12,28.74919393521175,0.0024823962692840347,0.03459881858715741,"{'70-79 | normal': 76, '60-69 | normal': 62, '70-79 | overweight': 86, '70-79 | obesity': 84, '60-69 | overweight': 59, '70-79 | low': 15, '60-69 | obesity': 91, '80+ | overweight': 15, '<60 | normal': 6, '80+ | normal': 17, '60-69 | low': 7, '80+ | obesity': 7}",0.008688386942494122,True,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_lf,525,12,41.57985254861326,1.9145752702972403e-05,0.05960984902263793,"{'70-79 | normal': 76, '60-69 | normal': 62, '70-79 | overweight': 86, '70-79 | obesity': 84, '60-69 | overweight': 59, '70-79 | low': 15, '60-69 | obesity': 91, '80+ | overweight': 15, '<60 | normal': 6, '80+ | normal': 17, '60-69 | low': 7, '80+ | obesity': 7}",0.00013402026892080684,True,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_vlf,525,12,14.432598459728089,0.2099731703097267,0.00669122506769608,"{'70-79 | normal': 76, '60-69 | normal': 62, '70-79 | overweight': 86, '70-79 | obesity': 84, '60-69 | overweight': 59, '70-79 | low': 15, '60-69 | obesity': 91, '80+ | overweight': 15, '<60 | normal': 6, '80+ | normal': 17, '60-69 | low': 7, '80+ | obesity': 7}",0.2351764837051422,False,age_group__bmi_cat
age_group__bp_cat,t2m_pre_mean_rr,530,7,14.525840728216355,0.024283185046256872,0.016301798715518845,"{'70-79 | normal': 180, '60-69 | normal': 153, '60-69 | high': 66, '70-79 | high': 81, '80+ | normal': 26, '<60 | normal': 10, '80+ | high': 14}",0.056660765107932706,False,age_group__bp_cat
age_group__bp_cat,t2m_pre_mean_hr,529,7,15.13060390939247,0.019264874117894463,0.01749157837048366,"{'70-79 | normal': 180, '60-69 | normal': 152, '60-69 | high': 66, '70-79 | high': 81, '80+ | normal': 26, '<60 | normal': 10, '80+ | high': 14}",0.056660765107932706,False,age_group__bp_cat
age_group__bp_cat,t2m_pre_sdnn,519,7,5.853607346150151,0.43978745904965544,-0.0002859231520504855,"{'70-79 | normal': 176, '60-69 | normal': 150, '60-69 | high': 64, '70-79 | high': 80, '80+ | normal': 25, '<60 | normal': 10, '80+ | high': 14}",0.49726609266790855,False,age_group__bp_cat
age_group__bp_cat,t2m_pre_rmssd,522,7,5.370325131341882,0.49726609266790855,-0.0012226696478798416,"{'70-79 | normal': 175, '60-69 | normal': 151, '60-69 | high': 66, '70-79 | high': 80, '80+ | normal': 26, '<60 | normal': 10, '80+ | high': 14}",0.49726609266790855,False,age_group__bp_cat
age_group__bp_cat,t2m_pre_hf,530,7,12.747963795993417,0.047217539684563034,0.012902416435933876,"{'70-79 | normal': 180, '60-69 | normal': 153, '60-69 | high': 66, '70-79 | high': 81, '80+ | normal': 26, '<60 | normal': 10, '80+ | high': 14}",0.08263069444798532,False,age_group__bp_cat
age_group__bp_cat,t2m_pre_lf,530,7,21.689970763565313,0.0013778634029294487,0.029999944098595244,"{'70-79 | normal': 180, '60-69 | normal': 153, '60-69 | high': 66, '70-79 | high': 81, '80+ | normal': 26, '<60 | normal': 10, '80+ | high': 14}",0.009645043820506141,True,age_group__bp_cat
age_group__bp_cat,t2m_pre_vlf,530,7,10.978550880752541,0.089041609719489,0.009519217745224745,"{'70-79 | normal': 180, '60-69 | normal': 153, '60-69 | high': 66, '70-79 | high': 81, '80+ | normal': 26, '<60 | normal': 10, '80+ | high': 14}",0.12465825360728461,False,age_group__bp_cat
bmi_cat__bp_cat,t2m_pre_mean_rr,530,8,9.766277669697624,0.20220971720523828,0.00529938250899928,"{'normal | normal': 121, 'overweight | normal': 116, 'obesity | normal': 115, 'overweight | high': 46, 'obesity | high': 69, 'normal | high': 40, 'low | normal': 17, 'low | high': 6}",0.5442697312244483,False,bmi_cat__bp_cat
bmi_cat__bp_cat,t2m_pre_mean_hr,529,8,4.7201783605567,0.6940672878041956,-0.004375857273403647,"{'normal | normal': 120, 'overweight | normal': 116, 'obesity | normal': 115, 'overweight | high': 46, 'obesity | high': 69, 'normal | high': 40, 'low | normal': 17, 'low | high': 6}",0.7920091785929178,False,bmi_cat__bp_cat
bmi_cat__bp_cat,t2m_pre_sdnn,519,8,11.914776346768328,0.10339655719300014,0.00961795762576972,"{'normal | normal': 114, 'overweight | normal': 116, 'obesity | normal': 114, 'overweight | high': 44, 'obesity | high': 69, 'normal | high': 39, 'low | normal': 17, 'low | high': 6}",0.5442697312244483,False,bmi_cat__bp_cat
bmi_cat__bp_cat,t2m_pre_rmssd,522,8,6.538974207598034,0.47840363056547497,-0.0008969373393034351,"{'normal | normal': 117, 'overweight | normal': 113, 'obesity | normal': 115, 'overweight | high': 45, 'obesity | high': 69, 'normal | high': 40, 'low | normal': 17, 'low | high': 6}",0.7920091785929178,False,bmi_cat__bp_cat
bmi_cat__bp_cat,t2m_pre_hf,530,8,5.6055327438413896,0.5864870261643575,-0.0026713932110318207,"{'normal | normal': 121, 'overweight | normal': 116, 'obesity | normal': 115, 'overweight | high': 46, 'obesity | high': 69, 'normal | high': 40, 'low | normal': 17, 'low | high': 6}",0.7920091785929178,False,bmi_cat__bp_cat
bmi_cat__bp_cat,t2m_pre_lf,530,8,9.278738677839543,0.23325845623904926,0.0043653997659761365,"{'normal | normal': 121, 'overweight | normal': 116, 'obesity | normal': 115, 'overweight | high': 46, 'obesity | high': 69, 'normal | high': 40, 'low | normal': 17, 'low | high': 6}",0.5442697312244483,False,bmi_cat__bp_cat
bmi_cat__bp_cat,t2m_pre_vlf,530,8,3.893060140404289,0.7920091785929178,-0.005951992068191017,"{'normal | normal': 121, 'overweight | normal': 116, 'obesity | normal': 115, 'overweight | high': 46, 'obesity | high': 69, 'normal | high': 40, 'low | normal': 17, 'low | high': 6}",0.7920091785929178,False,bmi_cat__bp_cat
