grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,2 | 70-79 | normal,35,26,842.0,880.5,0.884040769022682,-0.023076923076923078,negligible,0.9264323588896247,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,1 | 80+ | normal,35,12,842.0,893.5,0.1606112923940498,-0.2761904761904762,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,2 | 70-79 | obesity,35,30,842.0,907.0,0.807652609638066,-0.03619047619047619,negligible,0.92177743491301,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,2 | 60-69 | obesity,35,22,842.0,794.5,0.2545790500835218,0.18181818181818182,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,2 | 60-69 | normal,35,14,842.0,880.5,0.7398927250091255,-0.06326530612244897,negligible,0.8971896951808154,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,1 | 70-79 | overweight,54,51,848.5,862.0,0.2618391794212367,-0.12745098039215685,negligible,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,1 | 60-69 | overweight,54,41,848.5,786.0,0.2095300567908206,0.15130984643179765,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,1 | 70-79 | low,54,12,848.5,824.5,0.8224116143959836,0.043209876543209874,negligible,0.922391304366915,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,1 | 60-69 | obesity,54,69,848.5,849.0,0.45374433540201986,-0.07917337627482555,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,2 | 60-69 | overweight,54,18,848.5,811.5,0.6536629663589537,0.0720164609053498,negligible,0.8503044036994633,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,1 | 80+ | overweight,54,11,848.5,862.0,0.4840263262302107,-0.13636363636363635,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,2 | 70-79 | normal,54,26,848.5,880.5,0.37147155455258785,-0.12464387464387465,negligible,0.7500867928465715,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,1 | 80+ | normal,54,12,848.5,893.5,0.04004837829759945,-0.38271604938271603,medium,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,2 | 70-79 | obesity,54,30,848.5,907.0,0.22310327220056791,-0.1617283950617284,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,2 | 60-69 | obesity,54,22,848.5,794.5,0.6062545025200986,0.0765993265993266,negligible,0.8301174663866909,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | obesity,2 | 60-69 | normal,54,14,848.5,880.5,0.3279247111352368,-0.17195767195767195,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,1 | 60-69 | overweight,51,41,862.0,786.0,0.028398034381933772,0.26733620277379244,small,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,1 | 70-79 | low,51,12,862.0,824.5,0.35808981328132994,0.17320261437908496,small,0.7467507046013109,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,1 | 60-69 | obesity,51,69,862.0,849.0,0.5362562590175346,0.06649616368286446,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,2 | 60-69 | overweight,51,18,862.0,811.5,0.1941837036876688,0.20806100217864923,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,1 | 80+ | overweight,51,11,862.0,862.0,0.8827961672256215,0.030303030303030304,negligible,0.9264323588896247,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,2 | 70-79 | normal,51,26,862.0,880.5,0.9142153791283848,-0.01583710407239819,negligible,0.9411040667498078,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,1 | 80+ | normal,51,12,862.0,893.5,0.2043962440555589,-0.238562091503268,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,2 | 70-79 | obesity,51,30,862.0,907.0,0.6884104377361107,-0.0542483660130719,negligible,0.8708806742444773,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,2 | 60-69 | obesity,51,22,862.0,794.5,0.22692496497289116,0.1800356506238859,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | overweight,2 | 60-69 | normal,51,14,862.0,880.5,0.8857851809075974,-0.02661064425770308,negligible,0.9264323588896247,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,1 | 70-79 | low,41,12,786.0,824.5,0.5376314026910775,-0.11991869918699187,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,1 | 60-69 | obesity,41,69,786.0,849.0,0.04618671889022025,-0.22834924001413928,small,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,2 | 60-69 | overweight,41,18,786.0,811.5,0.5479098049755273,-0.1002710027100271,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,1 | 80+ | overweight,41,11,786.0,862.0,0.20551548348228477,-0.25277161862527714,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,2 | 70-79 | normal,41,26,786.0,880.5,0.06963568150996693,-0.2654784240150094,small,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,1 | 80+ | normal,41,12,786.0,893.5,0.009516587137679056,-0.49796747967479676,large,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,2 | 70-79 | obesity,41,30,786.0,907.0,0.05776856838111169,-0.2658536585365854,small,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,2 | 60-69 | obesity,41,22,786.0,794.5,0.6087528086835733,-0.07982261640798226,negligible,0.8301174663866909,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | overweight,2 | 60-69 | normal,41,14,786.0,880.5,0.07233110610939585,-0.32578397212543553,small,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | low,1 | 60-69 | obesity,12,69,824.5,849.0,0.4687064461619279,-0.13285024154589373,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | low,2 | 60-69 | overweight,12,18,824.5,811.5,0.7831879835419842,0.06481481481481481,negligible,0.9169835176167932,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | low,1 | 80+ | overweight,12,11,824.5,862.0,0.5181302014501532,-0.16666666666666666,small,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | low,2 | 70-79 | normal,12,26,824.5,880.5,0.32250402390249655,-0.20512820512820512,small,0.732597758919146,False,sex__age_group__bmi_cat
