grouping_variable,value_variable,group_a,group_b,p_adj,combined_grouping
sex__age_group,t2m_pre_vlf,2 | 60-69,2 | 70-79,0.9286791655459581,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 60-69,2 | 80+,0.9286791655459581,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 70-79,2 | 80+,0.9286791655459581,sex__age_group
sex__bmi_cat,t2m_pre_mean_rr,1 | low,1 | normal,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | low,1 | obesity,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | low,1 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | low,2 | low,0.9500131853884392,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | low,2 | normal,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | low,2 | obesity,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | low,2 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,1 | obesity,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,1 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,2 | low,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,2 | normal,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,2 | obesity,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,2 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | obesity,1 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | obesity,2 | low,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | obesity,2 | normal,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | obesity,2 | obesity,0.8509911512401571,sex__bmi_cat
