grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group,t2m_pre_mean_rr,1 | 70-79,1 | 60-69,167,162,857.0,833.5,0.14454488161767806,0.09307311303319288,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,1 | <60,167,8,70.0,71.0,0.7207914855946327,-0.07559880239520958,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,2 | 80+,167,11,70.0,69.0,0.8703613041334773,0.029940119760479042,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 60-69,2 | 70-79,162,94,72.0,68.0,0.10306050987989508,0.12227475702653008,negligible,0.40212750951778214,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 60-69,2 | 60-69,162,56,72.0,72.5,0.598694741465641,-0.04728835978835979,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 60-69,1 | 80+,162,29,72.0,68.0,0.05194890663908344,0.22690506598552576,small,0.40212750951778214,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 60-69,1 | <60,162,8,72.0,71.0,0.7994678795077547,0.05401234567901234,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 60-69,2 | 80+,162,11,72.0,69.0,0.40771566686115035,0.14983164983164984,small,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 70-79,2 | 60-69,94,56,68.0,72.5,0.11489357414793774,-0.15425531914893617,small,0.40212750951778214,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 70-79,1 | 80+,94,29,68.0,68.0,0.5590496512196585,0.0722670579603815,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 70-79,1 | <60,94,8,68.0,71.0,0.6404290657870155,-0.10106382978723404,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 70-79,2 | 80+,94,11,68.0,69.0,0.9665949726670651,0.008704061895551257,negligible,0.9665949726670651,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 60-69,1 | 80+,56,29,72.5,68.0,0.057615266494982754,0.2524630541871921,small,0.40212750951778214,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 60-69,1 | <60,56,8,72.5,71.0,0.5970085460879158,0.11830357142857142,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 60-69,2 | 80+,56,11,72.5,69.0,0.34251302440291276,0.18344155844155843,small,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 80+,1 | <60,29,8,68.0,71.0,0.5177398981023549,-0.15517241379310345,small,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 80+,2 | 80+,29,11,68.0,69.0,0.6709665504195708,-0.09090909090909091,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | <60,2 | 80+,8,11,71.0,69.0,0.8040163506498794,0.07954545454545454,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,1 | 60-69,163,160,152.0,166.0,0.10291696457483161,-0.10498466257668712,negligible,0.18010468800595533,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,2 | 70-79,163,93,152.0,99.0,0.0005259642455998419,0.2607032126129692,small,0.002209049831519336,True,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,2 | 60-69,163,54,152.0,20.8,6.769236909737023e-07,0.451488298114065,medium,4.738465836815916e-06,True,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,1 | 80+,163,29,152.0,107.0,0.3880315669928034,0.10090966786545377,negligible,0.4793331121675807,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,1 | <60,163,8,152.0,131.5,0.5221473380503616,0.13496932515337423,negligible,0.6091718943920886,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,2 | 80+,163,10,152.0,47.25,0.003718101610648869,0.5478527607361963,large,0.013013355637271042,True,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,2 | 70-79,160,93,166.0,99.0,1.2808897253244926e-07,0.3984543010752688,medium,1.3449342115907173e-06,True,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,2 | 60-69,160,54,166.0,20.8,1.3253490284465153e-10,0.5851851851851851,large,2.783232959737682e-09,True,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,1 | 80+,160,29,166.0,107.0,0.06588042035372077,0.21508620689655172,small,0.13834888274281362,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,1 | <60,160,8,166.0,131.5,0.2135407733241208,0.26171875,small,0.3203111599861812,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,2 | 80+,160,10,166.0,47.25,0.00041029578581063203,0.6675,large,0.0021540528755058185,True,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 70-79,2 | 60-69,93,54,99.0,20.8,0.02064131749335885,0.22958980485862207,small,0.054183458420066985,False,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 70-79,1 | 80+,93,29,99.0,107.0,0.2857030359870406,-0.13199851687059697,negligible,0.37498523473299084,False,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 70-79,1 | <60,93,8,99.0,131.5,0.6507582312582589,-0.09811827956989247,negligible,0.6832961428211719,False,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 70-79,2 | 80+,93,10,99.0,47.25,0.08424814092200891,0.33440860215053764,medium,0.160837359942017,False,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 60-69,1 | 80+,54,29,20.8,107.0,0.004762523492239813,-0.3780332056194125,medium,0.014287570476719441,True,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 60-69,1 | <60,54,8,20.8,131.5,0.19653297174754292,-0.28703703703703703,small,0.3174763389768001,False,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 60-69,2 | 80+,54,10,20.8,47.25,0.5602017215126054,0.11851851851851852,negligible,0.6191703237770901,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 80+,1 | <60,29,8,107.0,131.5,0.9705660978095009,-0.01293103448275862,negligible,0.9705660978095009,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 80+,2 | 80+,29,10,107.0,47.25,0.0597408745251062,0.4068965517241379,medium,0.13834888274281362,False,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | <60,2 | 80+,8,10,131.5,47.25,0.23009044912846022,0.35,medium,0.32212662877984427,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,1 | 60-69,164,161,13.95,14.5,0.5680695094268264,-0.036661111952734436,negligible,0.6627477609979642,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,2 | 70-79,164,91,13.95,12.5,0.17627887552678245,0.10231841329402305,negligible,0.3015948992794646,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,2 | 60-69,164,56,13.95,13.1,0.22637589787662582,0.10844947735191637,negligible,0.3169262570272761,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,1 | 80+,164,29,13.95,11.6,0.4597003154251015,0.08641715727502103,negligible,0.5678650955251253,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,1 | <60,164,8,13.95,13.5,0.18569682693667589,-0.2782012195121951,small,0.3015948992794646,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,2 | 80+,164,11,13.95,10.2,0.038272501807955585,0.37416851441241683,medium,0.22138907149700332,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,2 | 70-79,161,91,14.5,12.5,0.04608992228746381,0.15138898368712034,small,0.22138907149700332,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,2 | 60-69,161,56,14.5,13.1,0.10033325189062128,0.14762644188110027,small,0.3009997556718639,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,1 | 80+,161,29,14.5,11.6,0.2260499961453748,0.1415720711073035,negligible,0.3169262570272761,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,1 | <60,161,8,14.5,13.5,0.34331614216419093,-0.19953416149068323,small,0.45060243659050064,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,2 | 80+,161,11,14.5,10.2,0.01652678934641833,0.4330886504799548,medium,0.1735312881373925,False,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 70-79,2 | 60-69,91,56,12.5,13.1,0.9824958732493673,0.002354788069073783,negligible,0.9824958732493673,False,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 70-79,1 | 80+,91,29,12.5,11.6,0.9169950069180203,-0.013262599469496022,negligible,0.9628447572639214,False,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 70-79,1 | <60,91,8,12.5,13.5,0.09508782490578391,-0.3585164835164835,medium,0.3009997556718639,False,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 70-79,2 | 80+,91,11,12.5,10.2,0.1639867630446783,0.25874125874125875,small,0.3015948992794646,False,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 60-69,1 | 80+,56,29,13.1,11.6,0.8565504927537019,-0.024630541871921183,negligible,0.9467137025172494,False,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 60-69,1 | <60,56,8,13.1,13.5,0.13038419419977343,-0.33482142857142855,medium,0.3015948992794646,False,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 60-69,2 | 80+,56,11,13.1,10.2,0.18670160431585903,0.25487012987012986,small,0.3015948992794646,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 80+,1 | <60,29,8,11.6,13.5,0.052711683689762694,-0.45689655172413796,medium,0.22138907149700332,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 80+,2 | 80+,29,11,11.6,10.2,0.13760179660832655,0.3103448275862069,small,0.3015948992794646,False,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | <60,2 | 80+,8,11,13.5,10.2,0.015744489428699954,0.6590909090909091,large,0.1735312881373925,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,1 | 60-69,167,162,111.0,136.0,0.03705606337780131,-0.1329932727138316,negligible,0.12969622182230459,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,2 | 70-79,167,94,111.0,86.0,0.5999911630072421,0.03917696521849917,negligible,0.7233180957679766,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,2 | 60-69,167,57,111.0,79.0,0.91329161249296,-0.009769933816577371,negligible,0.9264941049100369,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,1 | 80+,167,29,111.0,54.0,0.34006225360416553,0.11129465207516002,negligible,0.5620063570757513,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,1 | <60,167,8,111.0,45.0,0.33302909892440924,0.20359281437125748,small,0.5620063570757513,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,2 | 80+,167,11,111.0,49.0,0.03396472127951007,0.3826891671203048,medium,0.12969622182230459,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,2 | 70-79,162,94,136.0,86.0,0.030034304874211496,0.16279222484896244,small,0.12969622182230459,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,2 | 60-69,162,57,136.0,79.0,0.13818050416841385,0.1322287199480182,negligible,0.32242117639296564,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,1 | 80+,162,29,136.0,54.0,0.02903432228459276,0.25500212856534693,small,0.12969622182230459,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,1 | <60,162,8,136.0,45.0,0.10003832639296659,0.345679012345679,medium,0.2626006067815373,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,2 | 80+,162,11,136.0,49.0,0.002767891766680263,0.5404040404040404,large,0.058125727100285525,False,sex__age_group
sex__age_group,t2m_pre_hf,2 | 70-79,2 | 60-69,94,57,86.0,79.0,0.6770393916553025,-0.04068682344158268,negligible,0.7483066960400712,False,sex__age_group
sex__age_group,t2m_pre_hf,2 | 70-79,1 | 80+,94,29,86.0,54.0,0.5334957335681669,0.07703595011005136,negligible,0.7002131503082192,False,sex__age_group
sex__age_group,t2m_pre_hf,2 | 70-79,1 | <60,94,8,86.0,45.0,0.5214614366496597,0.13829787234042554,negligible,0.7002131503082192,False,sex__age_group
sex__age_group,t2m_pre_hf,2 | 70-79,2 | 80+,94,11,86.0,49.0,0.08516546294775998,0.3191489361702128,small,0.25549638884327996,False,sex__age_group
sex__age_group,t2m_pre_hf,2 | 60-69,1 | 80+,57,29,79.0,54.0,0.38297369642351864,0.1161524500907441,negligible,0.574460544635278,False,sex__age_group
sex__age_group,t2m_pre_hf,2 | 60-69,1 | <60,57,8,79.0,45.0,0.34790869723736983,0.20833333333333334,small,0.5620063570757513,False,sex__age_group
sex__age_group,t2m_pre_hf,2 | 60-69,2 | 80+,57,11,79.0,49.0,0.026174505944376238,0.4274322169059011,medium,0.12969622182230459,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 80+,1 | <60,29,8,54.0,45.0,0.9264941049100369,0.02586206896551724,negligible,0.9264941049100369,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | 80+,2 | 80+,29,11,54.0,49.0,0.23740917198497102,0.2476489028213166,small,0.4985592611684392,False,sex__age_group
sex__age_group,t2m_pre_hf,1 | <60,2 | 80+,8,11,45.0,49.0,0.6199869392296942,0.14772727272727273,small,0.7233180957679766,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,1 | 60-69,167,162,117.0,158.0,0.10884264252809728,-0.10227692762622902,negligible,0.19807925770038926,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,2 | 70-79,167,94,117.0,93.0,0.1046396463314202,0.12109822907376736,negligible,0.19807925770038926,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,2 | 60-69,167,57,117.0,114.0,0.4969132345270859,0.060405504779913854,negligible,0.6138339955922826,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,1 | 80+,167,29,117.0,63.0,0.01980040125288326,0.2715259136898617,small,0.08316168526210971,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,1 | <60,167,8,117.0,53.5,0.05600100985121574,0.40119760479041916,medium,0.14700265085944134,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,2 | 80+,167,11,117.0,83.0,0.02442808319184624,0.4060968971148612,medium,0.08549829117146185,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,2 | 70-79,162,94,158.0,93.0,0.002486066537345587,0.22695035460992907,small,0.028512965019628057,True,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,2 | 60-69,162,57,158.0,114.0,0.06850804409170112,0.16244314489928524,small,0.15985210288063595,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,1 | 80+,162,29,158.0,63.0,0.0027155204780598147,0.3501489995742869,medium,0.028512965019628057,True,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,1 | <60,162,8,158.0,53.5,0.014561784161275381,0.5131172839506173,large,0.07644936684669576,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,2 | 80+,162,11,158.0,83.0,0.005963870068111945,0.49663299663299665,large,0.04174709047678362,True,sex__age_group
sex__age_group,t2m_pre_lf,2 | 70-79,2 | 60-69,94,57,93.0,114.0,0.608323383465339,-0.05001866368047779,negligible,0.6723574238301115,False,sex__age_group
sex__age_group,t2m_pre_lf,2 | 70-79,1 | 80+,94,29,93.0,63.0,0.15701945623093513,0.17461482024944974,small,0.21982723872330917,False,sex__age_group
sex__age_group,t2m_pre_lf,2 | 70-79,1 | <60,94,8,93.0,53.5,0.21781985505133972,0.2646276595744681,small,0.2858885597548834,False,sex__age_group
sex__age_group,t2m_pre_lf,2 | 70-79,2 | 80+,94,11,93.0,83.0,0.11528961383737203,0.29206963249516443,small,0.19807925770038926,False,sex__age_group
sex__age_group,t2m_pre_lf,2 | 60-69,1 | 80+,57,29,114.0,63.0,0.12262049286214574,0.20508166969147004,small,0.19807925770038926,False,sex__age_group
sex__age_group,t2m_pre_lf,2 | 60-69,1 | <60,57,8,114.0,53.5,0.14217218226079975,0.32456140350877194,small,0.21325827339119963,False,sex__age_group
sex__age_group,t2m_pre_lf,2 | 60-69,2 | 80+,57,11,114.0,83.0,0.04937411915772074,0.37799043062200954,medium,0.14700265085944134,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 80+,1 | <60,29,8,63.0,53.5,1.0,0.004310344827586207,negligible,1.0,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | 80+,2 | 80+,29,11,63.0,83.0,0.5647966930094623,0.12225705329153605,negligible,0.6589294751777061,False,sex__age_group
sex__age_group,t2m_pre_lf,1 | <60,2 | 80+,8,11,53.5,83.0,0.8403852769177846,0.06818181818181818,negligible,0.8824045407636739,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,1 | 60-69,167,162,32.0,43.0,0.3232212456880258,-0.06302210394026761,negligible,0.5221266276498878,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,2 | 70-79,167,94,32.0,23.0,0.008515862770125547,0.1962670403873105,small,0.044708279543159125,True,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,2 | 60-69,167,57,32.0,26.0,0.013768838524753718,0.21872045382918373,small,0.05034213232455458,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,1 | 80+,167,29,32.0,17.0,0.014383466378444166,0.2851538302704935,small,0.05034213232455458,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,1 | <60,167,8,32.0,37.5,0.9401973684850881,-0.016467065868263474,negligible,0.9401973684850881,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,2 | 80+,167,11,32.0,23.0,0.16281188239168398,0.2520413718018508,small,0.3798943922472626,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,2 | 70-79,162,94,43.0,23.0,0.0006605881241085386,0.25545048594693986,small,0.013872350606279312,True,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,2 | 60-69,162,57,43.0,26.0,0.0016795744242567294,0.28005198180636776,small,0.01652637905105709,True,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,1 | 80+,162,29,43.0,17.0,0.0023609112930081558,0.3550446998722861,medium,0.01652637905105709,True,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,1 | <60,162,8,43.0,37.5,0.6694949954772962,0.09027777777777778,negligible,0.920931285005531,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,2 | 80+,162,11,43.0,23.0,0.07466451994905428,0.3221099887766554,small,0.22399355984716285,False,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 70-79,2 | 60-69,94,57,23.0,26.0,0.72098950800129,0.03490108249346771,negligible,0.920931285005531,False,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 70-79,1 | 80+,94,29,23.0,17.0,0.43480784530917793,0.09647835656639765,negligible,0.6522117679637669,False,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 70-79,1 | <60,94,8,23.0,37.5,0.23193034210325814,-0.2566489361702128,small,0.4330704101565044,False,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 70-79,2 | 80+,94,11,23.0,23.0,0.8669807687689187,0.031914893617021274,negligible,0.9401973684850881,False,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 60-69,1 | 80+,57,29,26.0,17.0,0.7455158021473346,0.043557168784029036,negligible,0.920931285005531,False,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 60-69,1 | <60,57,8,26.0,37.5,0.21183448649682657,-0.27631578947368424,small,0.4330704101565044,False,sex__age_group
sex__age_group,t2m_pre_vlf,2 | 60-69,2 | 80+,57,11,26.0,23.0,0.933599978198816,0.017543859649122806,negligible,0.9401973684850881,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 80+,1 | <60,29,8,17.0,37.5,0.14922159379947791,-0.34051724137931033,medium,0.3798943922472626,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 80+,2 | 80+,29,11,17.0,23.0,0.7965190211010174,-0.05642633228840126,negligible,0.9292721912845203,False,sex__age_group
sex__age_group,t2m_pre_vlf,1 | <60,2 | 80+,8,11,37.5,23.0,0.24746880580371677,0.32954545454545453,small,0.4330704101565044,False,sex__age_group
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,2 | overweight,114,57,863.0,842.0,0.3537556481489792,0.08725761772853186,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,1 | obesity,114,130,863.0,850.0,0.0937019054827443,0.12449392712550607,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,1 | overweight,114,105,863.0,844.0,0.05674920871923043,0.1492063492063492,small,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,1 | low,114,17,863.0,823.0,0.1336253703954304,0.22652218782249742,small,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,2 | normal,114,47,863.0,876.0,0.6635297723186142,0.043859649122807015,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,2 | obesity,114,54,863.0,844.5,0.304240417990162,0.09844054580896686,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | normal,2 | low,114,6,863.0,824.5,0.3601109513666949,0.2236842105263158,small,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | overweight,1 | obesity,57,130,842.0,850.0,0.585124301954838,0.050337381916329284,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | overweight,1 | overweight,57,105,842.0,844.0,0.475385630663426,0.06817042606516291,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | overweight,1 | low,57,17,842.0,823.0,0.44450632251420574,0.1238390092879257,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | overweight,2 | normal,57,47,842.0,876.0,0.7788155997500296,-0.032474804031354984,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | overweight,2 | obesity,57,54,842.0,844.5,0.7544991821809403,0.03476283300844704,negligible,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | overweight,2 | low,57,6,842.0,824.5,0.467906912587413,0.18421052631578946,small,0.8304656838102608,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | obesity,1 | overweight,130,105,850.0,844.0,0.7899685299225535,0.02029304029304029,negligible,0.8304656838102608,False,sex__bmi_cat
