grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr
age_group,t2m_pre_lf,70-79,80+,261,40,111.0,73.0,0.0056327886490117485,0.2719348659003831,small,0.013497731471726218,True
age_group,t2m_pre_lf,70-79,<60,261,10,111.0,53.5,0.0360050969287917,0.3911877394636015,medium,0.054007645393187545,False
age_group,t2m_pre_lf,60-69,80+,219,40,149.0,73.0,0.0003657685986299294,0.3545662100456621,medium,0.0021946115917795767,True
age_group,t2m_pre_lf,60-69,<60,219,10,149.0,53.5,0.006748865735863109,0.5073059360730594,large,0.013497731471726218,True
age_group,t2m_pre_lf,80+,<60,40,10,73.0,53.5,0.9419812567490244,0.0175,negligible,0.9419812567490244,False
age_group,t2m_pre_vlf,70-79,60-69,261,219,30.0,39.0,0.2720021228945545,-0.05818856173131091,negligible,0.4360559588108199,False
age_group,t2m_pre_vlf,70-79,80+,261,40,30.0,21.5,0.03689876904918575,0.2049808429118774,small,0.11069630714755725,False
age_group,t2m_pre_vlf,70-79,<60,261,10,30.0,31.0,0.9934382715199906,0.0019157088122605363,negligible,0.9934382715199906,False
age_group,t2m_pre_vlf,60-69,80+,219,40,39.0,21.5,0.007637941421224325,0.2654109589041096,small,0.04582764852734595,True
age_group,t2m_pre_vlf,60-69,<60,219,10,39.0,31.0,0.6254389601299606,0.09178082191780822,negligible,0.7505267521559527,False
age_group,t2m_pre_vlf,80+,<60,40,10,21.5,31.0,0.2907039725405466,-0.22,small,0.4360559588108199,False
bmi_cat,t2m_pre_mean_rr,normal,overweight,161,162,866.0,843.0,0.07570250813507885,0.1143317230273752,negligible,0.206994094805382,False
bmi_cat,t2m_pre_mean_rr,normal,obesity,161,184,866.0,850.0,0.09319807450158422,0.10477990818255468,negligible,0.206994094805382,False
bmi_cat,t2m_pre_mean_rr,normal,low,161,23,866.0,823.0,0.103497047402691,0.21036997029435592,small,0.206994094805382,False
bmi_cat,t2m_pre_mean_rr,overweight,obesity,162,184,843.0,850.0,0.9712156336556569,-0.0022812667740203974,negligible,0.9712156336556569,False
