variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
t2m_pre_vlf,4,5,mannwhitneyu,1835.0,0.008013578874381392,-0.2600806451612903,34.0,47.0,-13.0,49.0,56.9625,62,80,0.01202036831157209
t2m_pre_vlf,4,6,mannwhitneyu,167.5,7.499815875262508e-21,-0.9289049235993209,34.0,295.0,-261.0,49.0,512.2368421052631,62,76,3.9374033345128167e-20
t2m_pre_vlf,5,6,mannwhitneyu,211.0,1.1301818301832115e-23,-0.9305921052631579,47.0,295.0,-248.0,56.9625,512.2368421052631,80,76,7.911272811282481e-23
age,0,1,mannwhitneyu,4674.0,0.21375008185773436,-0.10072150072150073,71.0,73.0,-2.0,72.17142857142858,72.79797979797979,105,99,0.26404421876543654
age,0,2,mannwhitneyu,2482.5,0.19971733030688565,-0.12433862433862433,71.0,73.0,-2.0,72.17142857142858,73.68518518518519,105,54,0.26212899602778744
age,0,3,mannwhitneyu,3690.5,0.001835139269703981,0.3017636684303351,71.0,69.0,2.0,72.17142857142858,68.14814814814815,105,54,0.0055054178091119435
age,0,4,mannwhitneyu,3999.0,0.013590548994328487,0.22857142857142856,71.0,69.0,2.0,72.17142857142858,69.69354838709677,105,62,0.02594559353462711
age,0,5,mannwhitneyu,5923.0,1.7165516270274068e-06,0.41023809523809524,71.0,67.0,4.0,72.17142857142858,68.0875,105,80,1.802379208378777e-05
age,0,6,mannwhitneyu,4676.0,0.048342383521834474,0.17192982456140352,71.0,70.0,1.0,72.17142857142858,70.32894736842105,105,76,0.07251357528275172
age,1,2,mannwhitneyu,2558.0,0.6614889614485508,-0.04302282080059858,73.0,73.0,0.0,72.79797979797979,73.68518518518519,99,54,0.6945634095209784
age,1,3,mannwhitneyu,3711.0,7.264558246318415e-05,0.388327721661055,73.0,69.0,4.0,72.79797979797979,68.14814814814815,99,54,0.0003813893079317168
age,1,4,mannwhitneyu,3979.0,0.001549325443636192,0.2965135223199739,73.0,69.0,4.0,72.79797979797979,69.69354838709677,99,62,0.005422639052726673
age,1,5,mannwhitneyu,5716.0,3.35532560851607e-07,0.44343434343434346,73.0,67.0,6.0,72.79797979797979,68.0875,99,80,7.046183777883747e-06
age,1,6,mannwhitneyu,4694.0,0.004965607654569901,0.2477405635300372,73.0,70.0,3.0,72.79797979797979,70.32894736842105,99,76,0.011586417860663103
age,2,3,mannwhitneyu,2026.0,0.00048004931168386624,0.3895747599451303,73.0,69.0,4.0,73.68518518518519,68.14814814814815,54,54,0.002016207109072238
age,2,4,mannwhitneyu,2206.0,0.0032099148657453677,0.31780167264038234,73.0,69.0,4.0,73.68518518518519,69.69354838709677,54,62,0.00842602652258159
age,2,5,mannwhitneyu,3105.0,1.7702910922271205e-05,0.4375,73.0,67.0,6.0,73.68518518518519,68.0875,54,80,0.00012392037645589843
age,2,6,mannwhitneyu,2575.5,0.01334661885076573,0.25511695906432746,73.0,70.0,3.0,73.68518518518519,70.32894736842105,54,76,0.02594559353462711
age,3,4,mannwhitneyu,1505.5,0.3514798719704286,-0.10065710872162485,69.0,69.0,0.0,68.14814814814815,69.69354838709677,54,62,0.41005985063216677
age,3,5,mannwhitneyu,2321.5,0.4640395410417939,0.07476851851851851,69.0,67.0,2.0,68.14814814814815,68.0875,54,80,0.5128858085198774
