variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
age_group,0,5,chi2,2.6660625423402777,0.44602545178772124,0.0,69,0.7082738955104919
age_group,0,6,chi2,3.804226918798665,0.2833948518821742,0.11301686911152008,60,0.6103889117462213
age_group,0,7,chi2,6.16439205955335,0.10388043381958262,0.23572884385698825,57,0.3635815183685392
age_group,1,2,chi2,0.8471994071994082,0.6546858978715789,0.0,92,0.7970089191480092
age_group,1,3,chi2,3.7685185185185186,0.15194156706372813,0.12671999094165215,110,0.38676035252585345
age_group,1,4,chi2,1.3430574077085706,0.7189349396810416,0.0,98,0.8269326830344457
age_group,1,5,chi2,0.25082785008481584,0.8821316906071742,0.0,93,0.8821316906071742
age_group,1,6,chi2,1.7031266185089275,0.42674727224538833,0.0,84,0.7082738955104919
age_group,1,7,chi2,10.60160211305722,0.004987596959127208,0.3274511875180751,81,0.04655090495185394
age_group,2,3,chi2,0.9369856089856093,0.6259449791397693,0.0,92,0.7966572461778882
age_group,2,4,chi2,1.9283684399963485,0.5874063832279457,0.0,80,0.7832085109705943
age_group,2,5,chi2,1.6919116295847587,0.4291469770890023,0.0,75,0.7082738955104919
age_group,2,6,chi2,2.680636142260169,0.26176239627657294,0.1000015971071693,66,0.6103889117462213
age_group,2,7,chi2,6.51033386327504,0.03857438084132381,0.26878583193915495,63,0.21601653271141333
age_group,3,4,chi2,5.360993657505286,0.14719320963393712,0.154996291642197,98,0.38676035252585345
age_group,3,5,chi2,4.986543520664187,0.08263914830321578,0.17952699674943023,93,0.3305565932128631
age_group,3,6,chi2,6.037238463220821,0.04886864808340156,0.21990481801180192,84,0.22805369105587395
age_group,3,7,chi2,3.9458646590563577,0.13904852173588042,0.15496632057735857,81,0.38676035252585345
age_group,4,5,chi2,1.0077427251549729,0.7993784534093157,0.0,81,0.8352758171383253
age_group,4,6,chi2,2.120001106102923,0.547877013358214,0.0,72,0.7670278187014996
age_group,4,7,chi2,11.187096696907744,0.010756021214113074,0.34608610913489357,69,0.07529214849879153
age_group,5,6,chi2,1.6150588673274702,0.4459584763441542,0.0,67,0.7082738955104919
age_group,5,7,chi2,10.870347102652001,0.004360478188708113,0.3746072767056933,64,0.04655090495185394
age_group,6,7,chi2,12.75309460654288,0.0017009858176262743,0.4455486369730168,55,0.04655090495185394
bmi_cat,0,1,chi2,1.5444988236012076,0.6720387536071672,0.0,86,0.8181341348261166
bmi_cat,0,2,chi2,4.792178520088758,0.1876628827978824,0.16151298411817605,68,0.7084857835899286
bmi_cat,0,3,chi2,0.9647939915871608,0.8097698846282699,0.0,86,0.8720598757535214
bmi_cat,0,4,chi2,1.9371513466601948,0.5855530918639102,0.0,74,0.8181341348261166
bmi_cat,0,5,chi2,1.6625212224108663,0.6452980734128229,0.0,69,0.8181341348261166
bmi_cat,0,6,chi2,1.1225505365192738,0.7716332717589429,0.0,60,0.864229264370016
bmi_cat,0,7,chi2,2.589425462874594,0.4593464164672195,0.0,57,0.804205191876522
bmi_cat,1,2,chi2,3.974580345312053,0.26422210826174886,0.10172830836415431,92,0.7398219031328968
bmi_cat,1,3,chi2,3.129251700680272,0.37212321832550715,0.03055110441520939,110,0.804205191876522
bmi_cat,1,4,chi2,2.372386224546566,0.4987956166671573,0.0,98,0.804205191876522
bmi_cat,1,5,chi2,2.5893851363947062,0.45935350927482277,0.0,93,0.804205191876522
bmi_cat,1,6,chi2,5.371786833855799,0.14651149292104507,0.16776278950902346,84,0.6837203002982104
bmi_cat,1,7,chi2,7.758276990389289,0.05128069348391135,0.24293812810737925,81,0.5232079386072229
bmi_cat,2,3,chi2,5.651878451878453,0.12983159729321458,0.1696547143938401,92,0.6837203002982104
bmi_cat,2,4,chi2,1.7783092777196274,0.6196664168848047,0.0,80,0.8181341348261166
bmi_cat,2,5,chi2,2.8216510521410703,0.4199481591834374,0.0,75,0.804205191876522
bmi_cat,2,6,chi2,7.559148489157169,0.05605799342220245,0.26352822240615753,66,0.5232079386072229
bmi_cat,2,7,chi2,8.470945945945946,0.03721824748676853,0.29577590338695375,63,0.5232079386072229
bmi_cat,3,4,chi2,3.976630143302155,0.26399873506758864,0.0987448461048005,98,0.7398219031328968
bmi_cat,3,5,chi2,0.6193093942137007,0.8919980489953491,0.0,93,0.9250350137729546
bmi_cat,3,6,chi2,1.209527827854704,0.750720063783822,0.0,84,0.864229264370016
bmi_cat,3,7,chi2,1.9020678307493726,0.592979519621941,0.0,81,0.8181341348261166
bmi_cat,4,5,chi2,2.2767529288337123,0.5169890519206213,0.0,81,0.804205191876522
bmi_cat,4,6,chi2,4.613060911404764,0.20242450959712247,0.14875630219391844,72,0.7084857835899286
bmi_cat,4,7,chi2,6.062727969704714,0.10859793754976356,0.21071528314664953,69,0.6837203002982104
bmi_cat,5,6,chi2,2.377421486625109,0.49785144418234195,0.0,67,0.804205191876522
bmi_cat,5,7,chi2,2.7559808612440193,0.4307976058850169,0.0,64,0.804205191876522
bmi_cat,6,7,chi2,0.4220065448045208,0.9356598637551203,0.0,55,0.9356598637551203
bp_cat,0,1,chi2,1.7935447052997628,0.18049487179088014,0.09590977495665895,86,1.0
bp_cat,0,2,chi2,1.6534213673063596,0.19849390370030728,0.09763152334926811,68,1.0
bp_cat,0,3,chi2,0.07798138525743235,0.7800518442375077,0.0,86,1.0
bp_cat,0,4,chi2,1.0196426657684827,0.31260378482227685,0.009024435059007423,74,1.0
bp_cat,0,5,chi2,1.8456003930866671,0.17429596294123556,0.11055170744698976,69,1.0
bp_cat,0,6,chi2,1.4098998887652947,0.2350730129820392,0.0816216626593313,60,1.0
bp_cat,0,7,chi2,0.3538084898971995,0.5519651135689931,0.0,57,1.0
bp_cat,1,2,chi2,0.0,1.0,0.0,92,1.0
bp_cat,1,3,chi2,1.0642414860681115,0.3022497899924711,0.022477676882461314,110,1.0
bp_cat,1,4,chi2,0.0017929744673930892,0.9662248450797835,0.0,98,1.0
bp_cat,1,5,chi2,0.0,1.0,0.0,93,1.0
bp_cat,1,6,chi2,0.0,1.0,0.0,84,1.0
bp_cat,1,7,chi2,0.05499598629413734,0.814587339265324,0.0,81,1.0
bp_cat,2,3,chi2,0.9799208971622768,0.32221833615829465,0.0,92,1.0
bp_cat,2,4,chi2,0.011728604554777188,0.9137587679633287,0.0,80,1.0
bp_cat,2,5,chi2,0.0,1.0,0.0,75,1.0
bp_cat,2,6,chi2,0.0,1.0,0.0,66,1.0
bp_cat,2,7,chi2,0.07790375709173664,0.7801585325941998,0.0,63,1.0
bp_cat,3,4,chi2,0.4473576942789418,0.5035924213778904,0.0,98,1.0
bp_cat,3,5,chi2,1.1446206406739807,0.28467807583258126,0.03813119225151897,93,1.0
bp_cat,3,6,chi2,0.8010559313644616,0.3707778508226798,0.0,84,1.0
bp_cat,3,7,chi2,0.059553771699998224,0.8072026174707169,0.0,81,1.0
bp_cat,4,5,chi2,0.03195598006644507,0.8581243043398732,0.0,81,1.0
bp_cat,4,6,chi2,0.006937802662835728,0.9336181899650895,0.0,72,1.0
bp_cat,4,7,chi2,0.0,1.0,0.0,69,1.0
bp_cat,5,6,chi2,0.0,1.0,0.0,67,1.0
bp_cat,5,7,chi2,0.11706941369018967,0.7322349415776883,0.0,64,1.0
bp_cat,6,7,chi2,0.061546750663130076,0.8040677313875133,0.0,55,1.0
