space_name,n_runs,silhouette_mean,silhouette_max,ch_mean,ch_max,db_mean,db_min,mean_clusters,mean_noise_fraction
tsne_integrated_perp20,636,0.3094631665876346,0.893631100654602,512.0279431732156,8412.63028121359,0.863123137676088,0.054575578429582036,22.514150943396228,0.118873857837902
tsne_integrated_perp30,636,0.3217998459690776,0.7993713617324829,482.1231516051273,4940.989685517236,0.7908332661437741,0.10154289858585146,20.62735849056604,0.1152130058146434
tsne_integrated_perp40,636,0.3207373513222959,0.8985523581504822,405.318590853937,2755.7268679129415,0.8149799704890668,0.1294968944425603,19.17452830188679,0.11736086388987778
umap_hrv_log_nn10_md00,636,0.5553017488937444,0.8309952616691589,3561.044855382606,13816.081440302545,0.6055546231015292,0.22547914249826823,13.734276729559749,0.03708318500059333
umap_hrv_log_nn10_md01,636,0.5088757271129251,0.9053189754486084,2256.6359402553467,11315.35598591574,0.6523391053828358,0.1325415675491466,13.630503144654089,0.04699477868755192
umap_hrv_log_nn10_md03,636,0.4533820360647425,0.865224301815033,1362.4954944302076,3227.9353593866713,0.6955495381416064,0.19031165911632386,13.70440251572327,0.05790910169692654
umap_hrv_log_nn15_md00,636,0.5601971439254565,0.8696730136871338,5065.7079863397175,22338.485780000407,0.6040574852212947,0.1835346029471183,13.38993710691824,0.03781298208140501
umap_hrv_log_nn15_md01,636,0.5174195232451526,0.8764416575431824,2935.1355884946165,8502.00933452951,0.6458163777684757,0.17858067014111642,13.25943396226415,0.044078557019105256
umap_hrv_log_nn15_md03,636,0.4608844865549732,0.969929575920105,1763.131551201529,10702.98474975604,0.6944446697703291,0.04253215360019576,13.433962264150944,0.055310312092084965
umap_hrv_log_nn30_md00,636,0.5448131012091847,0.9451061487197876,5520.494414710457,34561.32073868889,0.609993264280148,0.08378662362201394,12.888364779874214,0.04041473834104664
umap_hrv_log_nn30_md01,636,0.5051479690326891,0.9429112672805786,2955.109642557029,18257.507135135198,0.6382573908249435,0.08103915470980341,12.86006289308176,0.04771567580396345
umap_hrv_log_nn30_md03,636,0.44375269100608955,0.8299959301948547,1700.881193831227,4154.7488443426755,0.7132157957365013,0.23107737544736315,13.05817610062893,0.054791147502076656
umap_integrated_nn10_md00,636,0.4257892630313971,0.9120908379554749,718.2553629833069,5552.91741417449,0.7516961913267004,0.12583089881760118,13.059748427672956,0.060166725999762666
umap_integrated_nn10_md01,636,0.3738236301232222,0.8266043663024902,590.3510717895335,1560.5220195755014,0.8191965643276157,0.24349118260438798,12.907232704402515,0.07286697519876588
umap_integrated_nn10_md03,636,0.3450714994488018,0.8986138105392456,492.0635990083569,2465.8707975361185,0.8207906019706533,0.1415649450999243,12.998427672955975,0.07827222024445235
umap_integrated_nn15_md00,636,0.4151807307626153,0.9500478506088257,769.3613051140364,6029.500672858564,0.7555313434907164,0.068862647184292,12.849056603773585,0.06196748546339148
umap_integrated_nn15_md01,636,0.3804677072298733,0.9583887457847595,691.7907345054176,7260.195539892375,0.7969888225883432,0.058950766013645024,12.70125786163522,0.06958288833511334
umap_integrated_nn15_md03,636,0.32890601504020606,0.8775464296340942,494.18404855011,1993.2986715488914,0.8383997007530478,0.1718917076234895,12.732704402515724,0.08539219176456628
umap_integrated_nn30_md00,636,0.3928741131754736,0.93035489320755,711.3611349899377,5626.859946193226,0.7874979374286268,0.09800422459998394,12.34433962264151,0.07026521893912424
umap_integrated_nn30_md01,636,0.3718988858746392,0.9299522042274475,600.580303194604,4826.753495407174,0.7802500469003879,0.09776890392460569,12.220125786163521,0.06932775602230924
umap_integrated_nn30_md03,636,0.34233965688575074,0.9103001952171326,520.5851222364653,2506.227640288891,0.8288255028693954,0.1177553139377899,12.522012578616351,0.0796813812744749
