experiment_id,label_file,algorithm,family,space_name,params_json
30,../../results/clustering_exploration/labels/labels_exp_00030.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 3}"
31,../../results/clustering_exploration/labels/labels_exp_00031.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 4}"
32,../../results/clustering_exploration/labels/labels_exp_00032.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 5}"
33,../../results/clustering_exploration/labels/labels_exp_00033.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 6}"
34,../../results/clustering_exploration/labels/labels_exp_00034.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 7}"
35,../../results/clustering_exploration/labels/labels_exp_00035.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 8}"
36,../../results/clustering_exploration/labels/labels_exp_00036.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 9}"
37,../../results/clustering_exploration/labels/labels_exp_00037.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 10}"
38,../../results/clustering_exploration/labels/labels_exp_00038.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 11}"
39,../../results/clustering_exploration/labels/labels_exp_00039.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 12}"
40,../../results/clustering_exploration/labels/labels_exp_00040.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 13}"
41,../../results/clustering_exploration/labels/labels_exp_00041.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 14}"
42,../../results/clustering_exploration/labels/labels_exp_00042.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 15}"
43,../../results/clustering_exploration/labels/labels_exp_00043.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 16}"
44,../../results/clustering_exploration/labels/labels_exp_00044.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 17}"
45,../../results/clustering_exploration/labels/labels_exp_00045.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 18}"
46,../../results/clustering_exploration/labels/labels_exp_00046.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 19}"
47,../../results/clustering_exploration/labels/labels_exp_00047.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 20}"
48,../../results/clustering_exploration/labels/labels_exp_00048.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 21}"
