sex__age_group,UMAP1,UMAP2,n,embedding,grouping,sex__bmi_cat,sex__bp_cat,age_group__bmi_cat,age_group__bp_cat,bmi_cat__bp_cat,sex__age_group__bmi_cat,sex__age_group__bp_cat,sex__bmi_cat__bp_cat,age_group__bmi_cat__bp_cat
,-12.44122,9.809654,33,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,2 | 70-79 | high,,
,-11.243298,10.969144,61,UMAP_Integrated,sex__age_group__bp_cat,,,,,,,2 | 70-79 | normal,,
,10.291402,5.885354,13,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | low | normal,
,11.197964,6.044505,29,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | normal | high,
,10.688367,5.5747056,85,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | normal | normal,
,10.481722,5.5189543,40,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | obesity | high,
,11.117036,5.75753,90,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | obesity | normal,
,9.665375,5.4669704,32,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | overweight | high,
,10.280157,5.3769116,73,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | overweight | normal,
,8.608642,5.085454,11,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | normal | high,
,7.35351,5.3449388,36,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | normal | normal,
,7.3582683,4.627882,29,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | obesity | high,
,5.8213224,4.9767814,25,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | obesity | normal,
,9.000826,4.8927255,14,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | overweight | high,
,6.902663,4.124992,43,UMAP_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | overweight | normal,
,-10.367905,10.762643,13,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | low | normal,
,-12.549148,9.802042,29,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | normal | high,
,-10.688327,11.00471,85,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | normal | normal,
,-11.683519,9.027081,40,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | obesity | high,
,-10.247323,9.341186,90,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | obesity | normal,
,-12.660455,9.541792,32,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | overweight | high,
,-10.770619,10.65472,73,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | overweight | normal,
,-12.433747,10.718276,11,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | normal | high,
,-11.062316,10.780378,36,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | normal | normal,
,-12.469976,9.452784,29,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | obesity | high,
,-11.713144,11.063046,25,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | obesity | normal,
,-12.310847,9.83642,14,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | overweight | high,
,-11.741512,11.467218,43,UMAP_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | overweight | normal,
,11.836931,5.771487,16,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | normal | high
,9.2381735,5.6641965,46,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | normal | normal
,9.002979,5.369393,29,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | obesity | high
,9.916797,5.90721,62,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | obesity | normal
,9.883505,4.801244,20,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | overweight | high
,8.888135,5.087872,39,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | overweight | normal
,8.212209,4.9904175,10,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | low | normal
,10.633493,6.139571,19,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | normal | high
,10.344928,5.6842737,57,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | normal | normal
,9.425835,4.864985,34,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | obesity | high
,9.870859,5.204963,50,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | obesity | normal
,9.3765955,5.5674047,23,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | overweight | high
,8.562544,4.770282,63,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | overweight | normal
,10.788051,4.2031827,12,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,80+ | normal | normal
,11.47832,4.7481856,12,UMAP_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,80+ | overweight | normal
,-12.451517,9.113131,16,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | normal | high
,-10.901643,10.961767,46,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | normal | normal
,-12.004836,8.786994,29,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | obesity | high
,-10.341882,9.280742,62,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | obesity | normal
,-12.622685,9.359098,20,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | overweight | high
,-10.93016,10.655417,39,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | overweight | normal
,-10.980111,10.9814625,10,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | low | normal
,-12.671732,10.196962,19,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | normal | high
,-10.432225,10.580743,57,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | normal | normal
,-11.971992,9.172426,34,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | obesity | high
,-10.886938,10.350672,50,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | obesity | normal
,-12.479897,9.747464,23,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | overweight | high
,-11.250998,10.983826,63,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | overweight | normal
,-11.331222,11.917569,12,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,80+ | normal | normal
,-11.200992,12.041453,12,UMAP_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,80+ | overweight | normal
