sex__age_group,TSNE1,TSNE2,n,embedding,grouping,sex__bmi_cat,sex__bp_cat,age_group__bmi_cat,age_group__bp_cat,bmi_cat__bp_cat,sex__age_group__bmi_cat,sex__age_group__bp_cat,sex__bmi_cat__bp_cat,age_group__bmi_cat__bp_cat
,-11.786342,3.7129512,26,TSNE_Integrated,age_group__bp_cat,,,,80+ | normal,,,,,
,-3.3566349,4.2326636,10,TSNE_Integrated,age_group__bp_cat,,,,<60 | normal,,,,,
,-13.083457,-6.13558,6,TSNE_HRV,bmi_cat__bp_cat,,,,,low | high,,,,
,-0.9307602,-3.729521,17,TSNE_HRV,bmi_cat__bp_cat,,,,,low | normal,,,,
,2.1932178,1.9689808,40,TSNE_HRV,bmi_cat__bp_cat,,,,,normal | high,,,,
,0.8068625,-0.7890333,121,TSNE_HRV,bmi_cat__bp_cat,,,,,normal | normal,,,,
,-1.5079249,-1.4571687,69,TSNE_HRV,bmi_cat__bp_cat,,,,,obesity | high,,,,
,0.28464952,0.3538371,115,TSNE_HRV,bmi_cat__bp_cat,,,,,obesity | normal,,,,
,-0.89972985,-0.87016535,46,TSNE_HRV,bmi_cat__bp_cat,,,,,overweight | high,,,,
,-3.1030052,-1.0045592,116,TSNE_HRV,bmi_cat__bp_cat,,,,,overweight | normal,,,,
,-2.5090697,12.34707,6,TSNE_Integrated,bmi_cat__bp_cat,,,,,low | high,,,,
,-8.160483,6.760736,17,TSNE_Integrated,bmi_cat__bp_cat,,,,,low | normal,,,,
,4.8659453,3.7750301,40,TSNE_Integrated,bmi_cat__bp_cat,,,,,normal | high,,,,
,-5.1784005,4.6938906,121,TSNE_Integrated,bmi_cat__bp_cat,,,,,normal | normal,,,,
,11.885759,-2.617807,69,TSNE_Integrated,bmi_cat__bp_cat,,,,,obesity | high,,,,
,0.58897495,-9.104074,115,TSNE_Integrated,bmi_cat__bp_cat,,,,,obesity | normal,,,,
,9.9126005,4.100188,46,TSNE_Integrated,bmi_cat__bp_cat,,,,,overweight | high,,,,
,-2.4353006,3.6926758,116,TSNE_Integrated,bmi_cat__bp_cat,,,,,overweight | normal,,,,
,3.1782122,2.5430484,48,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 60-69 | normal,,,
,4.9813933,1.6514034,69,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 60-69 | obesity,,,
,2.2434742,2.8152742,41,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 60-69 | overweight,,,
,-3.6143932,-0.13819091,12,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 70-79 | low,,,
,3.8110828,1.6211832,50,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 70-79 | normal,,,
,0.68144107,3.518465,54,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 70-79 | obesity,,,
,-0.46918228,-2.7252018,51,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 70-79 | overweight,,,
,-2.047651,6.848829,12,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 80+ | normal,,,
,1.5060276,6.834752,11,TSNE_HRV,sex__age_group__bmi_cat,,,,,,1 | 80+ | overweight,,,
,-6.072513,-10.367164,14,TSNE_HRV,sex__age_group__bmi_cat,,,,,,2 | 60-69 | normal,,,
,-10.462919,-10.644497,22,TSNE_HRV,sex__age_group__bmi_cat,,,,,,2 | 60-69 | obesity,,,
,-12.676868,-11.294913,18,TSNE_HRV,sex__age_group__bmi_cat,,,,,,2 | 60-69 | overweight,,,
,3.786284,-2.3313286,26,TSNE_HRV,sex__age_group__bmi_cat,,,,,,2 | 70-79 | normal,,,
,-7.23779,-4.5147305,30,TSNE_HRV,sex__age_group__bmi_cat,,,,,,2 | 70-79 | obesity,,,
,-7.3659973,-0.27097794,35,TSNE_HRV,sex__age_group__bmi_cat,,,,,,2 | 70-79 | overweight,,,
,-0.7347293,3.0666707,48,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 60-69 | normal,,,
,5.465315,-11.882968,69,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 60-69 | obesity,,,
,4.5283704,1.0156195,41,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 60-69 | overweight,,,
,-6.6020274,8.067102,12,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 70-79 | low,,,
,-2.4298198,3.2587252,50,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 70-79 | normal,,,
,3.8614721,-7.5108085,54,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 70-79 | obesity,,,
,2.7520585,4.0468326,51,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 70-79 | overweight,,,
,-9.12314,4.821564,12,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 80+ | normal,,,
